update,time_sec,valid_steps,mean_reward,mean_return,mean_advantage,done_fraction,episodes_finished,mean_episode_return,mean_episode_length,total_env_steps,actor_loss,critic_loss,entropy,approx_kl,clip_fraction,total_loss,num_updates
51.0,92.58344960212708,512.0,-3.0847551822662354,-94.5273208618164,-38.41243362426758,0.001953125,1.0,-1086.51611328125,313.0,78336.0,-0.001835351251065731,875.0309936523438,1.9122663100560506,0.008388633389646809,0.1064453125,437.4945373535156,51.0
52.0,94.17654085159302,512.0,-2.8234899044036865,-90.91854858398438,-33.842838287353516,0.001953125,1.0,-1015.5094604492188,346.0,79872.0,-0.002582493610680103,672.8132853190104,1.9060680627822877,0.017859446924800675,0.23151041666666666,336.38499755859374,52.0
53.0,95.72797274589539,512.0,-2.4145705699920654,-84.73694610595703,-26.705228805541992,0.001953125,1.0,-543.2330932617188,138.0,81408.0,-0.006349433430780967,554.5058644612631,1.9076147278149922,0.01051100188633427,0.14212239583333333,277.22750803629555,53.0
54.0,97.67082667350769,512.0,-2.6596555709838867,-86.26268768310547,-28.057327270507812,0.00390625,2.0,-637.42578125,239.5,82944.0,-0.006518058230479558,630.3805419921875,1.9113566120465597,0.012294749737096329,0.16204427083333334,315.164638264974,54.0
55.0,99.65076446533203,512.0,-2.5090725421905518,-87.27313232421875,-28.169614791870117,0.001953125,1.0,-1119.1754150390625,450.0,84480.0,-0.004706399810190002,512.6940541585286,1.919017481803894,0.012924470773820454,0.15169270833333334,256.32313232421876,55.0
56.0,101.94592237472534,512.0,-3.579667329788208,-99.981689453125,-39.99802017211914,0.005859375,3.0,-530.2134297688802,135.66666666666666,86016.0,-0.005485009464124838,1087.165146891276,1.9249508420626322,0.010673873813357205,0.14733072916666667,543.5578389485677,56.0
57.0,104.57507562637329,512.0,-3.3669683933258057,-100.2025146484375,-39.3414192199707,0.00390625,2.0,-781.3227233886719,223.5,87552.0,-0.004780609502146641,979.4268534342448,1.933923351764679,0.01057951632149828,0.14342447916666667,489.6893035888672,57.0
58.0,107.26946330070496,512.0,-2.9728457927703857,-94.24275970458984,-32.494571685791016,0.00390625,2.0,-553.2554473876953,151.0,89088.0,-0.0013082060962915421,766.8278299967448,1.9363377809524536,0.009717474862312277,0.1263671875,383.39324442545575,58.0
59.0,109.22613000869751,512.0,-2.711062431335449,-93.6170883178711,-30.99413299560547,0.001953125,1.0,-1230.9600830078125,451.0,90624.0,-0.007499196225156387,609.9950948079427,1.9406835277875265,0.009725135910169531,0.12760416666666666,304.97063903808595,59.0
60.0,111.91650915145874,512.0,-3.1989355087280273,-99.32449340820312,-35.849822998046875,0.00390625,2.0,-627.4900207519531,177.0,92160.0,-0.0023713194765150546,841.5219482421875,1.9382356087366739,0.011739564842234056,0.15358072916666668,420.7392171223958,60.0,-738.5547485351562,0.0,264.0,0.0,1.0,0.0,0.0
61.0,117.47643566131592,512.0,-2.9983417987823486,-96.3168716430664,-31.980260848999023,0.00390625,2.0,-599.7351226806641,186.0,93696.0,-0.004611777421087026,727.1266682942709,1.9388839284578958,0.011085485465203722,0.14381510416666668,363.5393330891927,61.0
62.0,119.91394829750061,512.0,-1.9505332708358765,-86.0021743774414,-20.7855224609375,0.0,0.0,0.0,0.0,95232.0,-0.001407292764633894,262.71683502197266,1.946373216311137,0.008186538133304565,0.10279947916666667,131.33754704793293,62.0
63.0,122.6402907371521,512.0,-3.25408673286438,-98.93490600585938,-33.542808532714844,0.005859375,3.0,-538.804697672526,164.33333333333334,96768.0,-0.0018637538266678651,861.6744445800781,1.9473090092341105,0.011638754127003874,0.16432291666666668,430.8158884684245,63.0
64.0,124.94757604598999,512.0,-3.393173933029175,-101.7758560180664,-35.52748107910156,0.005859375,3.0,-509.7705790201823,139.0,98304.0,-0.006357000644008319,896.6813028971354,1.9484615882237752,0.008279630586427326,0.1134765625,448.3148132324219,64.0
65.0,127.58804035186768,512.0,-3.166285514831543,-101.5631103515625,-34.48196792602539,0.00390625,2.0,-429.0231170654297,103.5,99840.0,-0.006495117691035072,770.8407124837239,1.9528239607810973,0.012509511686706295,0.16393229166666667,385.3943328857422,65.0
66.0,129.6308515071869,512.0,-3.739994764328003,-105.49969482421875,-37.57508087158203,0.0078125,4.0,-449.94129943847656,116.0,101376.0,-0.00031645276273290315,1026.3491373697916,1.9592475652694703,0.011356905547048275,0.15520833333333334,513.1546600341796,66.0
67.0,131.1030628681183,512.0,-2.664186716079712,-97.84050750732422,-29.075281143188477,0.001953125,1.0,-670.4639282226562,203.0,102912.0,-0.0027095353230834006,530.3732096354166,1.9652419884999592,0.0091172615182586,0.12291666666666666,265.16424051920575,67.0
68.0,132.94336032867432,512.0,-2.719433069229126,-99.42303466796875,-29.8118953704834,0.001953125,1.0,-934.91015625,318.0,104448.0,-0.006702585937455296,541.4035268147786,1.97434774239858,0.012821713336355364,0.15149739583333333,270.6753168741862,68.0
69.0,134.98857140541077,512.0,-2.0438613891601562,-91.95681762695312,-21.502914428710938,0.0,0.0,0.0,0.0,105984.0,-0.004350018501281738,266.47557169596354,1.9746299465497335,0.010077125365690639,0.13619791666666667,133.21368865966798,69.0
70.0,136.8579878807068,512.0,-3.463838577270508,-106.16910552978516,-35.53055191040039,0.005859375,3.0,-534.9247233072916,145.66666666666666,107520.0,-0.008264828675116102,886.6488830566407,1.9657211502393086,0.01462909455682772,0.18053385416666667,443.29651997884116,70.0,-519.4960327148438,0.0,165.0,0.0,1.0,0.0,0.0
71.0,140.08119082450867,512.0,-2.449591636657715,-96.36968994140625,-24.93988037109375,0.001953125,1.0,-719.4247436523438,270.0,109056.0,-0.007000822542856137,414.27317911783854,1.9642871459325155,0.012429901978854711,0.15930989583333333,207.10994618733724,71.0
72.0,141.7064826488495,512.0,-1.845973014831543,-90.15744018554688,-17.927017211914062,0.0,0.0,0.0,0.0,110592.0,-0.0018778854981064796,233.11139221191405,1.9629544496536255,0.009547620559654508,0.1291015625,116.53418935139975,72.0
73.0,143.4343409538269,512.0,-2.5630991458892822,-99.03009796142578,-26.628992080688477,0.001953125,1.0,-687.6520385742188,232.0,112128.0,-0.005799362342804671,452.6061177571615,1.9641348123550415,0.017054303483261417,0.21751302083333332,226.27761535644532,73.0
74.0,144.90282225608826,512.0,-2.6544408798217773,-101.19833374023438,-28.03855323791504,0.001953125,1.0,-770.417724609375,249.0,113664.0,0.0002895030891522765,495.4009572347005,1.9650070707003275,0.013794465287355706,0.16341145833333334,247.68112030029297,74.0
75.0,146.42263007164001,512.0,-2.9631168842315674,-103.78153228759766,-29.84937858581543,0.00390625,2.0,-699.6413879394531,232.5,115200.0,-0.0015881803662826618,629.2258219401042,1.958836305141449,0.011918537149904295,0.150390625,314.59173380533855,75.0
76.0,147.9637987613678,512.0,-3.676166534423828,-113.24662017822266,-38.541133880615234,0.005859375,3.0,-612.3655598958334,164.66666666666666,116736.0,-0.0023046367801725864,950.419248453776,1.9531278451283773,0.009228294111865883,0.11341145833333334,475.1877888997396,76.0
77.0,149.50808691978455,512.0,-3.066121816635132,-106.88861083984375,-31.407211303710938,0.00390625,2.0,-758.297607421875,245.5,118272.0,-0.0008847048040479422,650.7672892252605,1.9538563092549641,0.011046730754120897,0.14427083333333332,325.36321716308595,77.0
78.0,151.4069972038269,512.0,-3.0481879711151123,-107.02938079833984,-30.767913818359375,0.00390625,2.0,-709.2881469726562,226.5,119808.0,-0.001664391594628493,640.9693400065104,1.9591923554738362,0.010820282407803462,0.1419921875,320.4634155273437,78.0
